n_arms,true_winner_idx,winner_idx,traffic,wins,baseline,conversion
18.0,1.0,1.0,1761.0,482.0,0.21544669546977196,0.2737081203861442
18.0,13.0,13.0,2220.0,541.0,0.20687158825764057,0.2436936936936937
18.0,7.0,7.0,2420.0,576.0,0.18030334152714056,0.23801652892561984
18.0,17.0,17.0,40139.0,11438.0,0.21438266832602756,0.28495976481726004
18.0,7.0,7.0,3843.0,974.0,0.21989484822062003,0.25344782721831904
18.0,9.0,9.0,37783.0,9716.0,0.20241919843675574,0.25715268771669797
18.0,3.0,3.0,35679.0,8408.0,0.2038679697332191,0.23565682894699963
18.0,9.0,9.0,2988.0,931.0,0.21215480596012556,0.3115796519410977
18.0,3.0,12.0,100018.0,23782.0,0.20154053423233687,0.2377772001039813
18.0,2.0,0.0,1777.0,378.0,0.18771398899671354,0.21271806415306696
18.0,17.0,17.0,84973.0,20940.0,0.1819718173216344,0.24643121932849257
18.0,14.0,14.0,17490.0,4632.0,0.20784595388127625,0.2648370497427101
18.0,17.0,1.0,4982.0,1193.0,0.20197253896175893,0.23946206342834203
18.0,6.0,13.0,1772.0,425.0,0.2163121479987826,0.23984198645598195
20.0,11.0,11.0,77531.0,21539.0,0.1987243002186347,0.2778114560627362
20.0,8.0,13.0,3333.0,787.0,0.18516839357936477,0.23612361236123613
20.0,19.0,19.0,32476.0,7705.0,0.18685254125341644,0.23725212464589235
20.0,10.0,10.0,1780.0,406.0,0.18654237223628412,0.22808988764044943
20.0,5.0,5.0,7271.0,1715.0,0.18079622413414956,0.23586851877320864
20.0,8.0,6.0,14988.0,3791.0,0.20732895014816294,0.2529356818788364
20.0,18.0,18.0,1861.0,441.0,0.21322843848045178,0.2369693713057496
20.0,3.0,3.0,3562.0,791.0,0.18838961517360414,0.22206625491297025
20.0,18.0,7.0,3574.0,798.0,0.1888230817851128,0.22327923894795748
20.0,11.0,11.0,1021.0,238.0,0.19122318476070227,0.23310479921645447
20.0,14.0,14.0,100020.0,27396.0,0.20264710768488792,0.2739052189562088
20.0,18.0,18.0,100020.0,26444.0,0.19192836174046168,0.2643871225754849
20.0,15.0,2.0,100020.0,26336.0,0.1937220194718821,0.26330733853229354
20.0,10.0,10.0,12948.0,4112.0,0.20283318984401383,0.3175780043249923
20.0,12.0,7.0,1775.0,497.0,0.21484008469276578,0.28
20.0,13.0,13.0,2182.0,570.0,0.20096484086051797,0.2612282309807516
20.0,14.0,6.0,20409.0,4931.0,0.18341777248179814,0.2416090940271449
20.0,5.0,5.0,4999.0,1490.0,0.2091526447951301,0.2980596119223845
20.0,15.0,15.0,31454.0,8432.0,0.21254683078819672,0.2680740128441534
20.0,5.0,5.0,1829.0,482.0,0.2122168857863007,0.263531984691088
20.0,13.0,13.0,4804.0,1297.0,0.19851551766821324,0.2699833472106578
20.0,8.0,8.0,35886.0,10863.0,0.21924969986254572,0.30270857716100985
20.0,16.0,16.0,20456.0,5713.0,0.21514017853490017,0.2792823621431365
20.0,7.0,2.0,100020.0,23753.0,0.20427736044329414,0.23748250349930014
20.0,12.0,12.0,15519.0,4664.0,0.2100913940850609,0.3005348282750177
20.0,3.0,3.0,4877.0,1200.0,0.19155625109244764,0.24605290137379537
20.0,19.0,12.0,1781.0,355.0,0.1920046361424356,0.19932622122403143
20.0,12.0,6.0,1072.0,194.0,0.19833206031865952,0.18097014925373134
20.0,8.0,8.0,95645.0,28636.0,0.2020883200730582,0.29939881854775474
20.0,5.0,15.0,100020.0,24768.0,0.19939469646222938,0.24763047390521895
20.0,1.0,1.0,29093.0,7025.0,0.19911654401321904,0.24146701955796926
20.0,13.0,13.0,100020.0,29902.0,0.21311650253126269,0.29896020795840833
22.0,3.0,3.0,80907.0,22156.0,0.20643494190864295,0.2738452791476634
22.0,17.0,17.0,55606.0,16330.0,0.21279956486222923,0.2936733446031004
22.0,3.0,3.0,100022.0,26314.0,0.20883196427738415,0.2630821219331747
22.0,21.0,21.0,16094.0,4149.0,0.19378175186833782,0.2577979371194234
22.0,0.0,0.0,30881.0,8432.0,0.21269425590814278,0.27304815258573234
22.0,16.0,16.0,26786.0,7409.0,0.1920988547163405,0.2765997162696931
22.0,21.0,21.0,11878.0,3773.0,0.2182191855818074,0.317646068361677
22.0,21.0,21.0,15409.0,4447.0,0.20619667045254955,0.28859757284703746
22.0,16.0,16.0,3951.0,990.0,0.1984072990934236,0.2505694760820046
22.0,1.0,1.0,1498.0,364.0,0.19526477387372793,0.24299065420560748
22.0,4.0,18.0,14929.0,3538.0,0.2027196679955879,0.23698841181592872
